no fromNode toNode weight
"98" "MMT00000159" "MMT00032175" 0.0224457701030529
"99" "MMT00000159" "MMT00032264" 0.137510795040056
"100" "MMT00000159" "MMT00032545" 0.0393253713733742
"101" "MMT00000159" "MMT00033001" 0.146476975826954
"102" "MMT00000159" "MMT00033171" 0.0228277036687831
"103" "MMT00000159" "MMT00034286" 0.0300154887557176
"104" "MMT00000159" "MMT00034355" 0.031351182906042
"105" "MMT00000159" "MMT00034383" 0.195923556378831
"106" "MMT00000159" "MMT00034407" 0.160513706897911
"107" "MMT00000159" "MMT00034605" 0.163081851533688
"108" "MMT00000159" "MMT00034709" 0.0290296866628485
"109" "MMT00000159" "MMT00034991" 0.0269939747050279
"110" "MMT00000159" "MMT00035225" 0.0520539232865126
"111" "MMT00000159" "MMT00035408" 0.0510289991878312
"112" "MMT00000159" "MMT00035506" 0.0241969447577055
"113" "MMT00000159" "MMT00036060" 0.0460062981079188
"114" "MMT00000159" "MMT00036790" 0.238619527171414
"115" "MMT00000159" "MMT00036968" 0.0449333985527082
"116" "MMT00000159" "MMT00037097" 0.161774115147777
"117" "MMT00000159" "MMT00039450" 0.0200469851651673
"118" "MMT00000159" "MMT00039457" 0.0748405500794636
"119" "MMT00000159" "MMT00041229" 0.103093996554135
"120" "MMT00000159" "MMT00041355" 0.0219052668498228
"121" "MMT00000159" "MMT00042835" 0.0441341778675849
"122" "MMT00000159" "MMT00042966" 0.0368259875025803
"123" "MMT00000159" "MMT00043004" 0.211443896706365
"124" "MMT00000159" "MMT00044677" 0.0205171173840984
"125" "MMT00000159" "MMT00044983" 0.168775180043561
"126" "MMT00000159" "MMT00045775" 0.0275959266619114
"127" "MMT00000159" "MMT00046909" 0.134434220976809
"128" "MMT00000159" "MMT00047216" 0.0499040506408094
"129" "MMT00000159" "MMT00047347" 0.171000010681594
"130" "MMT00000159" "MMT00047964" 0.139364237779402
"131" "MMT00000159" "MMT00048155" 0.0648961262192031
"132" "MMT00000159" "MMT00049092" 0.0205109140032567
"133" "MMT00000159" "MMT00049429" 0.185674237786703
"134" "MMT00000159" "MMT00049556" 0.0202162636227657
"135" "MMT00000159" "MMT00049893" 0.0211475611845807
"136" "MMT00000159" "MMT00050107" 0.13189855952506
"137" "MMT00000159" "MMT00050363" 0.0324937257865001
"138" "MMT00000159" "MMT00050815" 0.139798724540779
"139" "MMT00000159" "MMT00051144" 0.0421466357402488
"140" "MMT00000159" "MMT00051244" 0.0296894637905517
"141" "MMT00000159" "MMT00052629" 0.189709962307056
"142" "MMT00000159" "MMT00052695" 0.0522134641791223
"143" "MMT00000159" "MMT00052927" 0.267922766396056
"144" "MMT00000159" "MMT00053218" 0.0218798415396096
"145" "MMT00000159" "MMT00053241" 0.0677050906408763
"146" "MMT00000159" "MMT00054513" 0.216114381517799
"147" "MMT00000159" "MMT00054705" 0.0317964682678666
"148" "MMT00000159" "MMT00054735" 0.0236156547760272
"149" "MMT00000159" "MMT00055354" 0.093651630490486
"150" "MMT00000159" "MMT00055391" 0.0215810058341325
"151" "MMT00000159" "MMT00055441" 0.0215447776362514
"152" "MMT00000159" "MMT00055454" 0.21352192050377
"153" "MMT00000159" "MMT00055541" 0.198537156073516
"154" "MMT00000159" "MMT00055631" 0.100600578302477
"155" "MMT00000159" "MMT00055810" 0.180418602436568
"156" "MMT00000159" "MMT00056001" 0.125737083450523
"157" "MMT00000159" "MMT00056584" 0.0343765242171425
"158" "MMT00000159" "MMT00056614" 0.022597002429974
"159" "MMT00000159" "MMT00056798" 0.0215290893512875
"160" "MMT00000159" "MMT00056866" 0.0456176823233516
"161" "MMT00000159" "MMT00058315" 0.214730150848125
"162" "MMT00000159" "MMT00058618" 0.233312072495977
"163" "MMT00000159" "MMT00058765" 0.15512308482468
"164" "MMT00000159" "MMT00058789" 0.027586385434316
"165" "MMT00000159" "MMT00059054" 0.0249716696627522
"166" "MMT00000159" "MMT00059202" 0.0246465854006101
"167" "MMT00000159" "MMT00059404" 0.03245834126421
"168" "MMT00000159" "MMT00060309" 0.166521048872552
"169" "MMT00000159" "MMT00061312" 0.0385072500581724
"170" "MMT00000159" "MMT00061334" 0.182188031556808
"171" "MMT00000159" "MMT00061509" 0.0204873170632474
"172" "MMT00000159" "MMT00061767" 0.0250181764215071
"173" "MMT00000159" "MMT00061815" 0.0275292857902527
"174" "MMT00000159" "MMT00063382" 0.138652908872944
"175" "MMT00000159" "MMT00063470" 0.0214487718154909
"176" "MMT00000159" "MMT00064300" 0.230519300201674
"177" "MMT00000159" "MMT00065159" 0.0215584680942792
"178" "MMT00000159" "MMT00065854" 0.218534848073975
"179" "MMT00000159" "MMT00066001" 0.240549415071592
"180" "MMT00000159" "MMT00066813" 0.161486890410006
"181" "MMT00000159" "MMT00067079" 0.0203404071921332
"182" "MMT00000159" "MMT00067776" 0.0405919830265267
"183" "MMT00000159" "MMT00067823" 0.0384761865917436
"184" "MMT00000159" "MMT00067947" 0.0236315158374393
"185" "MMT00000159" "MMT00068013" 0.244416928546948
"186" "MMT00000159" "MMT00068357" 0.0309633819185151
"187" "MMT00000159" "MMT00068530" 0.0216398926203401
"188" "MMT00000159" "MMT00068808" 0.19316222850689
"189" "MMT00000159" "MMT00069111" 0.225787859884393
"190" "MMT00000159" "MMT00069686" 0.241728616335004
"191" "MMT00000159" "MMT00069799" 0.233519602214803
"192" "MMT00000159" "MMT00070040" 0.0442478636885432
"193" "MMT00000159" "MMT00070699" 0.059346399181082
"194" "MMT00000159" "MMT00071189" 0.0288756371309345
"195" "MMT00000159" "MMT00071357" 0.158747584994453
"196" "MMT00000159" "MMT00071378" 0.129368924408978
"197" "MMT00000159" "MMT00071845" 0.0936288982065778
"198" "MMT00000159" "MMT00072152" 0.204870880580113
"199" "MMT00000159" "MMT00072904" 0.218163734426605
"200" "MMT00000159" "MMT00072999" 0.147274255986764
"201" "MMT00000159" "MMT00074488" 0.0209353949164213
"202" "MMT00000159" "MMT00074515" 0.0209773940579841
"203" "MMT00000159" "MMT00074541" 0.041315898957151
"204" "MMT00000159" "MMT00075200" 0.201626681551025
"205" "MMT00000159" "MMT00075972" 0.0374334305620088
"206" "MMT00000159" "MMT00076421" 0.230519552766735
"207" "MMT00000159" "MMT00076508" 0.0283904302293167
"208" "MMT00000159" "MMT00076621" 0.0231066304171642
"209" "MMT00000159" "MMT00076754" 0.0232543983679833
"210" "MMT00000159" "MMT00077279" 0.0499445629364511
"211" "MMT00000159" "MMT00077345" 0.0225070139707205
"212" "MMT00000159" "MMT00077765" 0.15382228084352
"213" "MMT00000159" "MMT00078732" 0.02972202313701
"214" "MMT00000159" "MMT00078851" 0.0340168441960946
"215" "MMT00000159" "MMT00079155" 0.0250182463059375
"216" "MMT00000159" "MMT00079309" 0.181966660134495
"217" "MMT00000159" "MMT00079343" 0.211707645700798
"218" "MMT00000159" "MMT00080541" 0.154944827795789
"219" "MMT00000159" "MMT00080548" 0.0322788225547397
"220" "MMT00000159" "MMT00081133" 0.0238610947364892
"221" "MMT00000159" "MMT00081331" 0.0230251595238011
"222" "MMT00000159" "MMT00081439" 0.0236272291694201
"223" "MMT00000159" "MMT00081543" 0.0265581490827573
"224" "MMT00000159" "MMT00081689" 0.0368258449352233
"225" "MMT00000159" "MMT00082551" 0.0288276756066525
"226" "MMT00000159" "MMT00082556" 0.054327383408925
"227" "MMT00000159" "MMT00082712" 0.0221340442415605
"228" "MMT00000793" "MMT00001154" 0.0628600177325583
"229" "MMT00000793" "MMT00001245" 0.0307386468011612
"230" "MMT00000793" "MMT00001260" 0.0670358338719372
"231" "MMT00000793" "MMT00001698" 0.033594536649114
"232" "MMT00000793" "MMT00003410" 0.0368286076983971
"233" "MMT00000793" "MMT00005561" 0.0401624181440873
"234" "MMT00000793" "MMT00005727" 0.0574099459607725
"235" "MMT00000793" "MMT00005801" 0.0588640484445289
"236" "MMT00000793" "MMT00006315" 0.0258283962241973
"237" "MMT00000793" "MMT00006338" 0.0221952733707476
"238" "MMT00000793" "MMT00006398" 0.0475641217974577
"239" "MMT00000793" "MMT00007657" 0.0237572100932374
"240" "MMT00000793" "MMT00008988" 0.0239893214912611
"241" "MMT00000793" "MMT00009301" 0.0404971710567126
"242" "MMT00000793" "MMT00009824" 0.0599838439755217
"243" "MMT00000793" "MMT00010417" 0.0311645843018312
"244" "MMT00000793" "MMT00011464" 0.0673552721036981
"245" "MMT00000793" "MMT00011856" 0.0303342545376987
"246" "MMT00000793" "MMT00011887" 0.0420038488655446
"247" "MMT00000793" "MMT00012512" 0.0293562410256808
"248" "MMT00000793" "MMT00015199" 0.0465844815504386
"249" "MMT00000793" "MMT00015626" 0.0380383386522755
"250" "MMT00000793" "MMT00017411" 0.0388230285589911
"251" "MMT00000793" "MMT00017895" 0.0253855728354122
"252" "MMT00000793" "MMT00017989" 0.030110844168412
"253" "MMT00000793" "MMT00018081" 0.0352633066762873
"254" "MMT00000793" "MMT00018506" 0.033178923984897
"255" "MMT00000793" "MMT00019167" 0.0614616275264097
"256" "MMT00000793" "MMT00019744" 0.0259707631532185
"257" "MMT00000793" "MMT00020107" 0.0603790035813532
"258" "MMT00000793" "MMT00021508" 0.0369613432522406
"259" "MMT00000793" "MMT00022605" 0.0366438081014149
"260" "MMT00000793" "MMT00023166" 0.0249067714400284
"261" "MMT00000793" "MMT00023318" 0.0478606418712272
"262" "MMT00000793" "MMT00025627" 0.0391955567616329
"263" "MMT00000793" "MMT00025658" 0.0308782948869025
"264" "MMT00000793" "MMT00025972" 0.0260253015924898
"265" "MMT00000793" "MMT00026166" 0.0334864605418062
"266" "MMT00000793" "MMT00026397" 0.0239709155241505
"267" "MMT00000793" "MMT00026450" 0.0535947860236157
"268" "MMT00000793" "MMT00026462" 0.0694069563673394
"269" "MMT00000793" "MMT00026734" 0.0631169438701009
"270" "MMT00000793" "MMT00027615" 0.0652142519918437
"271" "MMT00000793" "MMT00028594" 0.0430407638451749
"272" "MMT00000793" "MMT00029780" 0.0367842041457002
"273" "MMT00000793" "MMT00030234" 0.0409706560036788
"274" "MMT00000793" "MMT00030255" 0.0571337972095207
"275" "MMT00000793" "MMT00030746" 0.0589088518006172
"276" "MMT00000793" "MMT00031873" 0.020684571096125
"277" "MMT00000793" "MMT00032264" 0.0428622200465233
"278" "MMT00000793" "MMT00032545" 0.0287023478283205
"279" "MMT00000793" "MMT00033001" 0.0476857847665181
"280" "MMT00000793" "MMT00034383" 0.0474825831350917
"281" "MMT00000793" "MMT00034407" 0.0413435792803628
"282" "MMT00000793" "MMT00034605" 0.0560674276475042
"283" "MMT00000793" "MMT00034709" 0.0225386902909267
"284" "MMT00000793" "MMT00036790" 0.0662179330377777
"285" "MMT00000793" "MMT00037097" 0.0273293196126249
"286" "MMT00000793" "MMT00039457" 0.0279301551167606
"287" "MMT00000793" "MMT00041229" 0.0403347349119534
"288" "MMT00000793" "MMT00043004" 0.0566709589839481
"289" "MMT00000793" "MMT00044983" 0.0270508977402955
"290" "MMT00000793" "MMT00046909" 0.0248809409969295
"291" "MMT00000793" "MMT00047347" 0.0385728415504526
"292" "MMT00000793" "MMT00047964" 0.0524453462943305
"293" "MMT00000793" "MMT00049429" 0.03629343327675
"294" "MMT00000793" "MMT00050107" 0.0261055756074444
"295" "MMT00000793" "MMT00050363" 0.022423493777501
"296" "MMT00000793" "MMT00050552" 0.0206657670804791
"297" "MMT00000793" "MMT00050815" 0.0367583512627437
"298" "MMT00000793" "MMT00051144" 0.0309404644683698
"299" "MMT00000793" "MMT00052629" 0.0412416953265055
"300" "MMT00000793" "MMT00052695" 0.0500400847289774
"301" "MMT00000793" "MMT00052927" 0.0955965684029572
"302" "MMT00000793" "MMT00054513" 0.03780504841535
"303" "MMT00000793" "MMT00055354" 0.0262540202637261
"304" "MMT00000793" "MMT00055454" 0.0318178893265276
"305" "MMT00000793" "MMT00055541" 0.0517898961535178
"306" "MMT00000793" "MMT00055631" 0.0438522852111987
"307" "MMT00000793" "MMT00055810" 0.0388906111371495
"308" "MMT00000793" "MMT00056001" 0.029660744797805
"309" "MMT00000793" "MMT00056584" 0.0315907453901236
"310" "MMT00000793" "MMT00056866" 0.0285308168195361
"311" "MMT00000793" "MMT00058315" 0.0708706249744953
"312" "MMT00000793" "MMT00058618" 0.0519172282387867
"313" "MMT00000793" "MMT00058765" 0.0269798066005932
"314" "MMT00000793" "MMT00060309" 0.0226114113982615
"315" "MMT00000793" "MMT00061334" 0.0589766852285603
"316" "MMT00000793" "MMT00061815" 0.0228190898259611
"317" "MMT00000793" "MMT00063382" 0.0529475180337616
"318" "MMT00000793" "MMT00064300" 0.0535901017637763
"319" "MMT00000793" "MMT00065854" 0.0533454025480074
"320" "MMT00000793" "MMT00066001" 0.0724669180020512
"321" "MMT00000793" "MMT00066813" 0.0743180474282345
"322" "MMT00000793" "MMT00067823" 0.0298377524830387
"323" "MMT00000793" "MMT00068013" 0.0481011841384516
"324" "MMT00000793" "MMT00068808" 0.0528524076699612
"325" "MMT00000793" "MMT00069111" 0.0278622794806006
"326" "MMT00000793" "MMT00069686" 0.05730806599749
"327" "MMT00000793" "MMT00069799" 0.0410381829722589
"328" "MMT00000793" "MMT00071378" 0.0276466697887245
"329" "MMT00000793" "MMT00072152" 0.06018829377929
"330" "MMT00000793" "MMT00072904" 0.0371376280296829
"331" "MMT00000793" "MMT00072999" 0.0445793572447965
"332" "MMT00000793" "MMT00074541" 0.0205066950938629
"333" "MMT00000793" "MMT00075200" 0.0439375964704979
"334" "MMT00000793" "MMT00076421" 0.0339200115277729
"335" "MMT00000793" "MMT00077345" 0.0236682681736648
"336" "MMT00000793" "MMT00077765" 0.0312988712632407
"337" "MMT00000793" "MMT00078851" 0.0259012628547091
"338" "MMT00000793" "MMT00079309" 0.0512058612923655
"339" "MMT00000793" "MMT00079343" 0.0599604378473638
"340" "MMT00000793" "MMT00080541" 0.0301766160483028
"341" "MMT00000793" "MMT00080548" 0.0292080541957996
"342" "MMT00000793" "MMT00081331" 0.0227439888610463
"343" "MMT00000793" "MMT00081439" 0.0239131942021665
"344" "MMT00000840" "MMT00000887" 0.0211684352918073
"345" "MMT00000840" "MMT00001154" 0.0228872069809393
"346" "MMT00000840" "MMT00001185" 0.0275397368960483
"347" "MMT00000840" "MMT00001260" 0.0314890672097277
"348" "MMT00000840" "MMT00002575" 0.0322208509867769
"349" "MMT00000840" "MMT00003081" 0.0205435355405867
"350" "MMT00000840" "MMT00003994" 0.0279733626301171
"351" "MMT00000840" "MMT00004397" 0.0229972303122864
"352" "MMT00000840" "MMT00005801" 0.0319560996702245
"353" "MMT00000840" "MMT00006001" 0.0249687463611054
"354" "MMT00000840" "MMT00006142" 0.0385992059223867
"355" "MMT00000840" "MMT00006230" 0.026840252489753
"356" "MMT00000840" "MMT00006300" 0.0333875143115349
"357" "MMT00000840" "MMT00006315" 0.0262145377595054
"358" "MMT00000840" "MMT00006398" 0.022326349177089
"359" "MMT00000840" "MMT00006713" 0.0467205257512137
"360" "MMT00000840" "MMT00008463" 0.0442813979962514
"361" "MMT00000840" "MMT00009301" 0.0251858889544553
"362" "MMT00000840" "MMT00009302" 0.0220666299234513
"363" "MMT00000840" "MMT00009857" 0.0251792208576538
"364" "MMT00000840" "MMT00010412" 0.0251821848459975
"365" "MMT00000840" "MMT00010873" 0.0260486863674712
"366" "MMT00000840" "MMT00012992" 0.0220004324257578
"367" "MMT00000840" "MMT00013100" 0.0227315731757362
"368" "MMT00000840" "MMT00013203" 0.0425699098873152
"369" "MMT00000840" "MMT00013759" 0.0421598791000343
"370" "MMT00000840" "MMT00014558" 0.0361335865046877
"371" "MMT00000840" "MMT00015380" 0.0258631825782666
"372" "MMT00000840" "MMT00015525" 0.0333959550594877
"373" "MMT00000840" "MMT00015534" 0.0236521820771887
"374" "MMT00000840" "MMT00015563" 0.0201835015381439
"375" "MMT00000840" "MMT00015943" 0.0227792459461565
"376" "MMT00000840" "MMT00016835" 0.0424098032259027
"377" "MMT00000840" "MMT00017837" 0.0289604369463743
"378" "MMT00000840" "MMT00018085" 0.0223919707969639
"379" "MMT00000840" "MMT00018643" 0.0317990626520102
"380" "MMT00000840" "MMT00019254" 0.0230735856511916
"381" "MMT00000840" "MMT00019744" 0.0323701040346239
"382" "MMT00000840" "MMT00020602" 0.0591831606191238
"383" "MMT00000840" "MMT00021805" 0.0218353895781515
